lat,lon,value
56.38624978,26.25375009,9.581213951
56.39458311,26.25375009,8.742413521
56.40291645,26.25375009,7.986048222
56.41124978,26.25375009,7.949867725
56.19458311,26.24541676,50.34846878
56.20291645,26.24541676,50.14022827
56.21124978,26.24541676,51.36781311
56.21958311,26.24541676,50.39207458
56.31124978,26.24541676,60.19522095
56.31958311,26.24541676,59.90484238
56.32791645,26.24541676,46.74459076
56.33624978,26.24541676,24.67770386
56.34458311,26.24541676,19.02078629
56.35291645,26.24541676,11.80571079
56.36124978,26.24541676,10.49137115
56.36958311,26.24541676,9.587738037
56.37791645,26.24541676,8.835212708
56.38624978,26.24541676,8.817279816
56.39458311,26.24541676,7.93489933
56.40291645,26.24541676,7.207824707
56.41124978,26.24541676,7.265857697
56.41958311,26.24541676,7.394365311
56.42791645,26.24541676,7.521028519
56.45291645,26.24541676,7.474448204
56.46124978,26.24541676,7.269171238
56.19458311,26.23708343,72.97315979
56.20291645,26.23708343,93.08545685
56.21124978,26.23708343,105.5112152
56.21958311,26.23708343,93.88661957
56.30291645,26.23708343,40.55675888
56.31124978,26.23708343,54.89724731
56.31958311,26.23708343,55.49427032
56.32791645,26.23708343,40.4658699
56.33624978,26.23708343,23.26813316
56.34458311,26.23708343,16.18546295
56.35291645,26.23708343,11.46343136
56.36124978,26.23708343,10.36794472
56.36958311,26.23708343,9.711518288
56.37791645,26.23708343,8.909345627
56.38624978,26.23708343,8.43316555
56.39458311,26.23708343,6.847790718
56.40291645,26.23708343,6.723278046
56.41124978,26.23708343,7.106188297
56.41958311,26.23708343,7.354063511
56.42791645,26.23708343,7.529734135
56.43624978,26.23708343,7.491390705
56.45291645,26.23708343,7.467133045
56.46124978,26.23708343,7.129217148
56.46958311,26.23708343,7.07446003
56.47791645,26.23708343,7.112552643
56.48624978,26.23708343,7.133647919
56.49458311,26.23708343,6.776753902
56.18624978,26.22875009,46.89677811
56.19458311,26.22875009,83.84616089
56.20291645,26.22875009,116.1306839
56.21124978,26.22875009,125.5448608
56.21958311,26.22875009,127.9386673
56.30291645,26.22875009,34.294384
56.31124978,26.22875009,34.23111343
56.31958311,26.22875009,31.41567612
56.32791645,26.22875009,26.65394402
56.33624978,26.22875009,20.73368454
56.34458311,26.22875009,16.61990738
56.35291645,26.22875009,12.67440987
56.36124978,26.22875009,11.61889267
56.36958311,26.22875009,10.20930672
56.37791645,26.22875009,9.575992584
56.38624978,26.22875009,9.096924782
56.39458311,26.22875009,7.086370468
56.40291645,26.22875009,6.965916157
56.41124978,26.22875009,7.143849373
56.41958311,26.22875009,7.071111679
56.42791645,26.22875009,7.130909443
56.43624978,26.22875009,7.320914268
56.44458311,26.22875009,7.376982212
56.45291645,26.22875009,7.108953953
56.46124978,26.22875009,6.860986233
56.46958311,26.22875009,6.722092628
56.47791645,26.22875009,7.09000349
56.48624978,26.22875009,7.241014481
56.49458311,26.22875009,6.773327827
56.18624978,26.22041676,53.91929626
56.19458311,26.22041676,58.98912048
56.20291645,26.22041676,71.28361511
56.21124978,26.22041676,112.1769791
56.21958311,26.22041676,139.4988403
56.22791645,26.22041676,163.7923889
56.26124978,26.22041676,87.59296417
56.26958311,26.22041676,70.49847412
56.27791645,26.22041676,27.59184837
56.28624978,26.22041676,25.81459236
56.30291645,26.22041676,28.78832054
56.31124978,26.22041676,25.26573181
56.31958311,26.22041676,20.66791916
56.32791645,26.22041676,16.99233818
56.33624978,26.22041676,17.6048336
56.34458311,26.22041676,16.44112015
56.35291645,26.22041676,13.58535099
56.36124978,26.22041676,12.26284695
56.36958311,26.22041676,10.82999706
56.37791645,26.22041676,10.44116974
56.38624978,26.22041676,7.954583168
56.39458311,26.22041676,7.953036308
56.40291645,26.22041676,7.571234703
56.41124978,26.22041676,7.067863941
56.41958311,26.22041676,6.856126785
56.42791645,26.22041676,6.922030449
56.43624978,26.22041676,7.053370953
56.44458311,26.22041676,7.03091383
56.45291645,26.22041676,6.950084209
56.46124978,26.22041676,6.868688583
56.46958311,26.22041676,6.893344879
56.47791645,26.22041676,7.166472435
56.17791645,26.21208343,41.19397354
56.18624978,26.21208343,48.34663391
56.19458311,26.21208343,46.24698257
56.20291645,26.21208343,58.10507202
56.21124978,26.21208343,136.006958
56.21958311,26.21208343,197.0725555
56.22791645,26.21208343,224.6441193
56.23624978,26.21208343,245.9726715
56.24458311,26.21208343,278.3538208
56.25291645,26.21208343,212.1329956
56.26124978,26.21208343,155.4032898
56.26958311,26.21208343,78.42860413
56.27791645,26.21208343,36.26080322
56.28624978,26.21208343,29.35955238
56.29458311,26.21208343,24.30088425
